계열,관련 학과,일반 선택,진로 선택,멘토의 한 마디
언어·문학,"국어국문학과, 동양어학과, 서양어학과, 영어영문학과, 통번역학과","생활과 윤리, 윤리와 사상, 세계지리, 동아시아사, 세계사, 사회·문화, 제2외국어Ⅰ, 한문Ⅰ, 철학, 논술 등","심화 국어, 고전 읽기, 영어권 문화, 진로 영어, 영미 문학 읽기, 고전과 윤리, 사회문제 탐구, 제2외국어Ⅱ, 한문Ⅱ 등","- 문학과 어학 관련 전공은 해당 언어에 대한 이해와 습득뿐만 아니라, 해당 문화에 대한 폭넓은 정보와 지식이 필요해요.

- 언어학 전공을 위해서는 꼼꼼하고 정확함이 요구되며, 문학 전공은 자유롭고 창의적인 사고도 필요해요.

- 어문학과는 현재 해당 언어에 능숙한지보다 해당 언어권의 문학, 언어, 문화 등 그 나라 전반에 관심이 있으면 충분해요.

- 각 언어권 국가의 잠재력을 생각해보고 그 분야에서 자신의 진로를 설계해 본다면 보다 즐겁고 의미 있게 준비할 수 있을 거예요."
인문과학,"고고학과, 문헌정보학과, 문화재보존학과, 문화콘텐츠학과, 사학과, 심리학과, 인류학과, 철학과","생활과 윤리, 윤리와 사상, 한국지리, 세계지리, 동아시아사, 세계사, 정치와 법, 사회·문화, 제2외국어Ⅰ, 한문Ⅰ, 논술, 심리학 등","고전 읽기, 고전과 윤리, 사회문제 탐구, 제2외국어Ⅱ, 한문Ⅱ 등","- 인간과 세계에 대한 관심, 다양한 문화에 대한 깊이 있는 식견 및 인문학 전반에 대한 이해가 필요해요.

- 기본적 지식들을 바탕으로 그 사실들을 어떻게 바라볼 것인지 관점에 대해 고민하고 탐구하는 것이 중요해요.

- 관련 학문 서적들을 꾸준히 읽고 토론하며 자신의 생각을 정리해보는 습관을 길러 보세요.

- 심리학 관련 전공은 과학 실험 방법론에 대한 이해가 필요하며, 인문학적 소양뿐만 아니라 사회과학, 자연과학 전반에 대한 관심도 필요해요."
상경,"경영학과, 경제학과, 금융보험학과, 무역·유통학과, 세무·회계학과, 호텔·관광경영학과","미적분, 확률과 통계, 생활과 윤리, 한국지리, 세계지리, 세계사, 동아시아사, 경제, 정치와 법, 사회·문화, 제2외국어Ⅰ, 논리학, 심리학 등","경제 수학, 영어권 문화, 진로 영어, 사회문제 탐구, 제2외국어Ⅱ 등","- 수리적인 분석력, 판단력 및 대량의 정보를 빠르게 습득·활용하는 능력이 중요하기에 학교에서 배우는 수학의 기초를 탄탄하게 해 두는 것이 좋아요. 

- 다른 분야와의 융합을 통해 새로운 응용 학문의 개척이 얼마든지 가능해요.

- 창업, 학계, 금융계, 기업계, 공공기관, 법조계, 언론 및 마케팅 등 다양한 분야로의 진로가 열려 있어요. "
섬유공학과,"섬유고분자에서부터 염료 및 색소, 각종 가공제와 세제와 같은 화학 조제를 다루는 기초재료 분야와 이들 재료로부터 다양한 소재와 확장되는 소재 분야, 그리고 소재를 활용하여 각종 제품으로 연계되는 방법에 대하여 연구하는 전문 인력 양성을 목적으로 하는 학과이다.","* 화학, 물리, 수학 등 자연과학 분야에 대한 기본 지식이 풍부한 학생
* 자신이 알고 있는 지식을 종합하여 응용하는 능력을 겸비한 학생
* 새로운 것에 도전하고 관찰력과 호기심을 가진 학생","섬유나노소재전공, 섬유소재시스템공학과, 섬유신소재설계전공, 섬유산업학과, 유신소재파이버공학과, 파이버시스템공학과 등",숭실대 등,"단국대, 신한대 등","경북대, 부산대, 전북대, 충남대 등","화학엔지니어, 염색가공엔지니어, 섬유엔지니어, 섬유화학연구원, 신소재개발연구원 등","화법과 작문, 독서, 언어와 매체, 문학","수학Ⅰ, 수학Ⅱ, 미적분, 확률과 통계","영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ",경제,"물리학Ⅰ, 화학Ⅰ, 생명과학Ⅰ, 화학Ⅱ, 생명과학Ⅱ, 생활과 과학",기술·가정,,,,,,,,,,,,,
식품공학과,"식품의 효율적인 생산 기술, 제품 개발, 가공, 품질 관리, 식품 위생, 발효공정, 생물공학적 기법 등 식품 생산에 관련된 기술개발 및 제조 장비 등 기계적 기술론에 대해 연구하는 학문으로, 식품과 관련된 폭넓은 학문과 기술에 대한 전문 소양을 갖춘 인재 양성을 목적으로 하는 학과이다.","* 사람의 건강과 식품, 영영에 대한 중요성을 인지하고 있는 학생
* 첨단 기술을 식품에 응용할 수 있는 창의력 및 응용력을 겸비한 학생
* 생명과학이나 화학 등 자연기초과목을 좋아하는 학생","식품영양학과, 식품가공학전공, 바이오식품공학과, 식품생명공학과 등","경희대, 고려대, 동국대, 서울과기대, 서울대, 서울여대, 성균관대, 성신여대, 세종대, 이화여대 등","가천대, 경기대, 중앙대(안성), 차의과학대, 한경대 등","강원대, 경북대, 경상대, 부산대, 전남대, 전북대, 충남대, 충북대, 제주대 등","식품공학기술자, 영양사 등","화법과 작문, 독서, 언어와 매체, 문학","수학Ⅰ, 수학Ⅱ, 미적분, 확률과 통계, 기하","영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ",경제,"물리학Ⅰ, 화학Ⅰ, 생명과학Ⅰ, 화학Ⅱ, 생명과학Ⅱ, 생활과 과학",정보,,,,,,,,,,,,,
신소재공학과,"새로운 산업 재료 및 첨단 재료 개발에 대한 산업적 요구에 부응하여 고부가가치 산업에 필요한 기술적인 신소재, 생체 재료, 기능 재료, 환경 재료 등 첨단사업 발전의 핵심적인 역할을 담당하는 공학 소재의 개발과 개선을 연구하는 전문 인력 양성을 목적으로 하는 학과이다.","* 신소재공학의 근간이 되는 수학, 물리학, 화학 등 기초 공학과목에 소양이 있는 학생
* 다양한 소재에 대해 공부할 수 있는 호기심과 관심이 있는 학생
* 새로운 과학기술의 발달과 인간의 욕구에 대한 이해하고 선도할 능력을 가진 학생","나노신소재공학과, 신소재시스템공학과, 화학신소재학과, 융합신소재공학과, 화공신소재공학과 등","고려대, 국민대, 동국대, 상명대, 서울과기대, 서울시립대, 연세대, 한양대, 홍익대 등","경희대, 대진대, 명지대, 수원대, 인천대, 인하대, 한국산업기술대 등","강릉원주대(강릉), 경북대, 계명대, 고려대(세종), 공주대(천안), 대전대, 선문대, 전남대, 전북대, 충남대, 충북대, 한라대, 한밭대 등","금속재료공학시험원, 나노소재품질시험원, 나노소재연구원, 반도체품질관리시험원, 비금속공학기술자, 비누 및 화장품공학 기술자, 비파괴기술자, 석유화학공학기술자, 섬유공학기술자, 섬유 및 염료시험원, 의약품화학공학기술자, 자재관리사무원, 재료공학기술자, 전자계측제어기술자, 전자의료기기개발자, 전자제품개발자, 품질관리사무원 등","화법과 작문, 독서, 언어와 매체, 문학","수학Ⅰ, 수학Ⅱ, 미적분, 확률과 통계, 기하, 수학과제 탐구","영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ",경제,"물리학Ⅰ, 화학Ⅰ, 생명과학Ⅰ, 물리학Ⅱ, 화학Ⅱ, 융합과학",없음,,,,,,,,,,,,,
에너지자원공학과,"에너지 및 광물 자원의 탐사와 생산, 분배, 재활용, 운영 그리고 지구환경변화와 환경영향 분석 및 이와 관련된 국가정책을 다루는 학문 분야로, 다양한 형태의 에너지를 효율적으로 획득하고 사용할 수 있도록 에너지 자원을 공학적으로 연구하는 전문 인력 양성을 목적으로 하는 학과이다.","* 화학, 물리, 수학 등 기초과학에 대한 관심과 지식을 지닌 학생
* 정밀함이 필요한 실험·실습이 많으므로 꼼꼼하고 차분한 집중력이 높은 학생
* 새로운 것을 발견하고 응용하는 것을 좋아하는 성격의 학생","미래에너지공학과, 에너지공학과, 환경에너지공학과, 원자력공학과, 신재생에너지학과 등","건국대, 서울대, 세종대, 한양대 등","경희대, 대진대, 인하대 등","강원대, 경북대, 순천향대, 전남대, 제주대 등","가정에코컨설턴트, 기술직 공무원, 바이오에너지 연구 및 개발자, 발전설비기술자, 변리사, 비파괴검사원, 산업안전원, 에너지공학연구원, 에너지시험원, 에너지진단전문가, 위험관리원, 원자력공학연구원, 전기안전기술자, 전력거래중개인, 폐기물처리기술자, 태양광발전연구 및 개발자, 태양열연구 및 개발자, 풍력발전연구 및 개발자, 플랜트기계공학기술자 등","화법과 작문, 독서, 언어와 매체, 문학","수학Ⅰ, 수학Ⅱ, 미적분, 확률과 통계, 기하","영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ",경제,"물리학Ⅰ, 화학Ⅰ, 생명과학Ⅰ, 지구과학Ⅰ, 물리학Ⅱ, 화학Ⅱ, 지구과학Ⅱ",융합과학,,,,,,,,,,,,,
재료공학과,"금속재료, 무기재료, 고분자재료, 복합재료, 전자재료 등의 성능을 최대화하기 위하여 재료의 거시적인 이해와 미시적 이해를 모두 학습하고 이를 융합할 수 있는 전문 인력 양성을 목적으로 하는 학과이다.","* 수학, 화학, 물리 등 기초과학에 대한 관심이 있는 학생
* 지적 호기심이 강하고, 분석적인 사고를 하고 혁신적인 성격을 가진 학생
* 복잡하게 꼬인 문제를 차근차근 풀어내는 인내심이 있는 학생","기계금속재료공학과, 유기재료공학과, 재료융합공학부, 전자재료공학과 등","건국대, 고려대, 광운대, 국민대, 동국대, 서경대, 서울과학기술대, 서울대, 서울시립대, 세종대, 숭실대, 연세대, 중앙대, 한양대, 홍익대 등","가천대, 경기대, 경희대, 단국대, 명지대, 아주대, 인하대 등","강원대, 경북대, 부경대, 부산대, 전남대, 전북대, 충남대, 충북대 등","금속공학기술자, 금속재료공학시험원, 나노공학기술자, 대체에너지개발기술자, 대체에너지개발연구원, 비파괴검사원, 산업안전 및 위험관리원, 섬유공학기술자, 연료전지개발 및 연구자, 태양광발전연구 및 개발자, 태양열연구 및 개발자 등","화법과 작문, 독서, 언어와 매체, 문학","수학Ⅰ, 수학Ⅱ, 미적분, 확률과 통계, 기하","영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ",없음,"물리학Ⅰ, 화학Ⅰ, 생명과학Ⅰ, 물리학Ⅱ, 화학Ⅱ, 생활과 과학",환경,,,,,,,,,,,,,
화장품과학과,"기능성 식물, 기능성 천연물 소재 등을 발굴하고, 천연 화장품, 고기능성 화장품, 특수식품, 천연약품 등 최첨단 분야에 응용할 수 있는 지식을 습득하며, 첨단화된 실험실습을 통해 현장 중심 교육을 통한 전문 인력 양성을 목적으로 하는 학과이다.","* 자연 현상에 대한 호기심과 관찰력, 논리적인 분석 능력을 지닌 학생
* 꾸준하고 성실한 연구 자세가 요구되며 새로운 것에 관심을 기울이는 자세를 겸비한 학생
* 실험하는 도전정신, 탐구력, 창의적인 학생","미용화장품과학과, 뷰티화장품학과, 화장품공학과, 화장품생명공학부, 화장품제약자율전공, 화장품학전공  등","건국대, 동덕여대 등","을지대, 안양대 등","건국대(글로컬), 경성대, 대구한의대, 세명대, 호서대 등","화장품 생산제조자, 화장품 품질관리 연구원 및 기술자, 화장품 임상평가연구원, 화장품 브랜드매니저 및 마케팅 전문가, 화장품사업경영자, 피부과학(항노화, 피부재생, 인공피부, 피부질환) 연구원, 화장품 인허가 전문가 등
화장품R&D 전문가(화장품소재, 제형 및 제품개발자 등)
정부 및 공공기관 연구원 및 공무원(바이오, 식품, 의약품, 보건복지, 헬스케어 관련 등)","화법과 작문, 독서, 언어와 매체, 문학","수학Ⅰ, 수학Ⅱ, 미적분, 확률과 통계","영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ","경제, 사회·문화","물리학Ⅰ, 화학Ⅰ, 생명과학Ⅰ, 물리학Ⅱ, 화학Ⅱ, 생명과학Ⅱ, 생활과 과학",없음,,,,,,,,,,,,,
화학공학과,"화학, 물리학, 생물학 등의 기초과학 지식을 이용하여 천연자연으로부터 인간의 생활에 필요한 제반 물질 및 제품을 만드는 화학·물리·생물 공정을 설계 및 개발하고 이들을 운전 및 운영할 수 있는 전문 인력 양성을 목적으로 하는 학과이다.","* 수학, 물리, 생물, 화학 등 다양한 기초 과학과목에 흥미가 있는 학생
* 과학적 탐구력과 풍부한 수학적 표현력이 있는 학생
* 자료를 이해하고 분석할 수 있는 능력이 있는 학생
* 각종 화학 관련 실험이나 많은 실습 시간을 소화하기 위해 꼼꼼하고 주의 깊은 성격의 학생","고분자공학과, 생명화학공학과, 에너지화학공학과, 화공생명공학과 등","건국대, 고려대, 광운대, 동국대, 서강대, 서울과학기술대, 서울대, 서울시립대, 성균관대, 숙명여대, 숭실대, 연세대, 이화여대, 한양대, 홍익대 등","가천대, 경기대, 경희대, 단국대, 명지대, 아주대, 인천대, 인하대 등","강원대, 경북대, 경상대, 부산대, 전남대, 전북대, 충남대, 충북대 등","화학공학기술자, 화학제품제조원, 환경공학기술자 등
기업체(석유화학 및 정유업체, 정밀화학업체, 환경 및 에너지 관련 산업체, 섬유업체, 신소재 관련 업체, 제약 및 생명과학 관련 업체 등)
연구소(화학 관련 기업체 연구소, 화학 관련 대학 부설 연구소 등)
정부 및 공공기관(정부의 화공 관련 부서, 석유공사 및 화학 관련 공공기관 등)","화법과 작문, 독서, 언어와 매체, 문학","수학Ⅰ, 수학Ⅱ,미적분, 확률과 통계, 기하, 수학과제 탐구","영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ",경제,"물리학Ⅰ, 화학Ⅰ, 생명과학Ⅰ, 물리학Ⅱ, 화학Ⅱ, 생활과 과학",정보,,,,,,,,,,,,,
간호학과,사람들의 건강을 증진시키고 질병에서 오는 고통을 줄여 더 행복한 삶을 살 수 있도록 돕는 전문 간호 이론과 기술을 배우며 국가 시험을 거쳐 간호사 면허 취득 후 간호사가 될 인력 양성을 목적으로 하는 학과이다.,"* 인체나 질병, 생명 등에 대한 관심이 있고, 생물이나 화학 등의 교과목에 흥미와 소질이 있는 학생 
* 대인 관계가 원만하고, 이해심이 많으며 책임감과 성실하며 책임감이 강한 학생
* 상황에 유연하게 대처할 수 있고 사람을 좋아하고 잘 어울리며 마음이 따뜻한 학생","간호학부, 임상간호학과 등","경희대, 고려대, 삼육대, 서울대, 성신여대, 연세대, 이화여대, 중앙대, 한국성서대 등","가천대(메디컬), 가톨릭대, 대진대, 수원대, 아주대, 을지대(성남), 인하대, 차의과학대 등","강원대, 건국대(글로컬), 단국대(천안), 동국대(경주), 부산대, 상명대(천안), 순천향대, 연세대(미래), 을지대 (대전), 전남대, 전북대, 충남대, 충북대, 한국교통대 등","가정전문간호사, 간호사, 감염관리전문간호사, 보건교사, 보험사무원, 산업전문간호사, 생명과학시험원, 수술실간호사, 응급구조사, 의료관광코디네이터, 의료코디네이터, 호스피스전문간호사 등","화법과 작문, 독서, 언어와 매체, 문학","수학Ⅰ, 수학Ⅱ, 확률과 통계","영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ","정치와 법, 생활과 윤리","화학Ⅰ, 생명과학Ⅰ, 화학Ⅱ, 생명과학Ⅱ, 생활과 과학","보건, 심리학",,,,,,,,,,,,,
물리치료학과,"물리적인 요소를 이용한 전기치료, 광선치료, 수치료, 온열치료 등과 운동생리학 및 임상운동학, 관절생리학 등의 학문을 기초로 하는 운동치료 및 기능 훈련을 통하여 환자의 손상 및 장애 등을 치료, 진단하고 손상으로 인해 소실된 기능을 되찾아 주며, 신체의 건강을 증진시키는 인력 양성을 목적으로 하는 학과이다.","* 인간애를 바탕으로 봉사정신을 가진 학생
* 다양한 사람들과 원만한 대인 관계를 형성할 수 있는 학생
* 인체의 움직임에 대해서 배우고, 이를 실제 현장에서 활용하는 경우가 많으므로 다양한 환경에 대해 적응할 수 있는 학생",물리치료과 등,삼육대 등,"가천대, 용인대, 을지대(성남) 등","가야대, 강원대, 경남대, 경동대, 김천대, 나사렛대, 남서울대, 단국대(천안), 대구대, 대전대, 백석대, 부산가톨릭대, 상지대, 연세대(미래), 우송대, 인제대, 중부대, 청주대, 한국교통대(충주), 한려대, 한서대, 호남대, 호서대, 호원대 등","물리치료사, 스포츠트레이너 등","화법과 작문, 독서, 언어와 매체, 문학","수학Ⅰ, 수학Ⅱ, 확률과 통계","영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ","정치와 법, 생활과 윤리","물리학Ⅰ, 생명과학Ⅰ, 생명과학Ⅱ, 생활과 과학","보건, 심리학",,,,,,,,,,,,,
응급구조학과,"[응급의료에 관한 법률]에 의거, 응급환자 발생 현장, 환자 이송 중, 의료기관 내에서 기본 및 전문 응급처치 활동을 할 수 있고, 인간 사랑과 생명 존중을 현실화시킬 수 있는 실무 능력을 겸비한 1급 응급구조사 양성을 목적으로 하는 학과이다.","* 아픈 사람을 돕는 것을 좋아하고 희생정신을 통해 보람을 느낄 수 있는 학생
* 응급의료 분야에 대한 관심이 많고 책임의식과 사명감이 투철한 학생
* 타인에 대한 배려가 있으며 생명을 소중히 하고 어려움에 처한 사람들을 구하는 데 보람을 느끼는 학생","산업보건응급구조학과, 응급구조과 등",없음,"가천대, 을지대(성남) 등","강원대, 건양대(대전), 경동대, 공주대, 나사렛대, 남서울대, 대전대, 백석대, 선문대, 우송대, 한국교통대 등","소방관, 소방관리자, 응급구조사, 인명구조원 등","화법과 작문, 독서, 언어와 매체, 문학","수학Ⅰ, 수학Ⅱ","영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ","정치와 법, 생활과 윤리","화학Ⅰ, 생명과학Ⅰ, 생명과학Ⅱ, 생활과 과학","보건, 심리학",,,,,,,,,,,,,
임상병리학과,"환자의 혈액이나 체액, 소변, 조직 등을 화학·생물학·물리학·유전학적인 방법으로 분석하여 정보를 제공할 수 있도록 임상 검사 기술을 연구하는 학문이며 졸업 후 면허를 취득하고 임상병리사로 활동하게 된다. 의료 기관의 다양한 분야에서 신뢰성 있는 정확한 검사결과를 제공하여 질 높은 의료서비스를 할 수 있는 전문 임상병리사의 양성을 목적으로 하는 학과이다.","* 보건의료인으로서의 사명감이 투철하고 성실한 학생
* 분석적 사고력을 갖추고 화학이나 생물, 물리 등의 교과목에 흥미가 있는 학생
* 시각장애가 없고 실험이나 실습을 좋아하면서 관측력이 예리한 학생",임상병리과 등,없음,"신한대, 을지대(성남)","건양대(대전), 경동대, 경운대, 극동대, 김천대, 나사렛대, 남서울대, 단국대(천안), 대구한의대, 대전대, 동서대, 동의대, 부산가톨릭대, 상지대, 세명대, 순천향대, 연세대(미래), 을지대(대전), 인제대, 중원대, 청주대, 한려대, 호서대 등","보건위생 및 환경검사원, 생명과학시험원, 임상병리사, 임상연구코디네이터 등","화법과 작문, 독서, 언어와 매체, 문학","수학Ⅰ, 수학Ⅱ, 확률과 통계","영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ",정치와 법,"화학Ⅰ, 생명과학Ⅰ, 화학Ⅱ, 생명과학Ⅱ, 생활과 과학",없음,,,,,,,,,,,,,
